text,label
I'm curious — what surprised you most in what you've heard so far?,0
What would it mean to solve this in a way that surprises people?,0
Conduct a two-minute empathy interview with the person next to you.,1
Document the minimum viable product scope before starting development.,1
I'm curious what would need to be true for this direction to feel risky in a good way.,0
How might we make room for serendipity in the user's experience?,0
Perform a card sorting exercise to understand the user's mental model.,1
Assign each team member a specific role in the usability test.,1
Create a user persona before we proceed to ideation.,1
What would surprise us most to discover about how users actually use this?,0
I'm curious what a ten-year-old would think of this solution.,0
Now we move to evaluation — rank the ideas by feasibility and impact.,1
I'm curious what draws you to that constraint — is it real or imagined?,0
Write your reframe question before generating any solutions.,1
What would you want to explore if you had unlimited time and resources?,0
I wonder if there's a deeper need beneath what we've been discussing.,0
How might we make space for ideas that don't fit our current frame?,0
Start with the user journey map and fill in all the pain points.,1
Apply the jobs-to-be-done interview format with open-ended questions.,1
What's the thing about this problem that makes you most uncomfortable?,0
How might we test that belief before committing to it?,0
Write the acceptance criteria for each user story in your backlog.,1
What would it mean to design from a place of genuine curiosity?,0
Conduct a stakeholder map to identify all people affected by your design.,1
Conduct a dot-voting exercise to prioritize the top design opportunities.,1
Create a prototype that fails fast so we can learn quickly.,1
What's the conversation the user is having with themselves when they encounter this?,0
How might we approach this with a beginner's mind?,0
Use design criteria to evaluate which concept best meets user needs.,1
"Write a user story for each feature in the format: as a user, I want...",1
"Build a paper prototype in the next eight minutes, then swap and test.",1
What would it look like if this worked better than anyone expected?,0
What's the most generous interpretation of the user's behavior we could take?,0
"Let's debrief using the what, so what, now what framework.",1
What's the smallest thing we could change that might have the biggest impact?,0
Use the HEART metrics framework to define success for your product.,1
Document your insights as HMW questions before moving to ideation.,1
Let's time-box this discussion to three minutes and then decide.,1
I wonder how someone from a completely different field would approach this.,0
Perform a risk assessment of your top concept using a likelihood-impact grid.,1
Sketch three different concepts in the next five minutes.,1
Use co-creation methods to involve users directly in design.,1
I wonder if we're solving the right problem or the most visible one.,0
Create an annotated wireframe with design rationale for each decision.,1
How might we design this to work at the margins of human capability?,0
How might we hold space for the ideas that feel uncertain right now?,0
How might we make the invisible visible in this design?,0
Use the 5 Whys technique to dig into the root cause.,1
Map out the complete user journey from awareness to retention.,1
How might we design with the impermanence of this solution in mind?,0
Perform a competitive analysis of at least three existing solutions.,1
"Apply the double diamond: discover, define, develop, deliver.",1
What do you imagine the user is feeling before they even encounter this solution?,0
Create a customer journey map that covers all five stages of experience.,1
I'm curious — whose perspective haven't we heard yet in this conversation?,0
What's the possibility that excites you most about this direction?,0
Summarize your key insights in a two-by-two opportunity matrix.,1
What's the thing this design most needs to be true for users to trust it?,0
"What's the assumption that, if wrong, would change everything?",0
Write down three non-obvious users who might benefit from your solution.,1
What's the narrative the user tells themselves about this kind of experience?,0
Each group must present a two-minute pitch of their concept.,1
Prioritize your ideas using an impact-effort matrix on the whiteboard.,1
Perform a content audit before redesigning the information architecture.,1
I wonder what this design would look like if optimized for trust rather than engagement.,0
Define the success metrics for your solution before prototyping.,1
How might we design this to be worthy of the user's trust?,0
What would success actually look like for the people we're designing for?,0
Document your assumptions using the assumption mapping template.,1
How might we honor the diversity of needs across the people we're designing for?,0
How might we bring more of the user's lived experience into this conversation?,0
How might we create a sense of possibility rather than certainty in this design?,0
We need to move into the prototyping phase — everyone pick one concept.,1
Build and test a low-fidelity wireframe of your digital interface.,1
How might we reframe this as an opportunity rather than a problem?,0
What would feel like a breakthrough for the team right now?,0
How might we create conditions for the team to think more freely?,0
Identify the riskiest assumption in your concept and test it first.,1
What would feel like the most honest version of this solution?,0
Use the concept selection matrix to evaluate your three ideas.,1
How might we build on the tension between those two perspectives?,0
"Use the kano model to classify features as basic, performance, or delighters.",1
Conduct a brief user test with at least two people before we reconvene.,1
Write the problem statement on the whiteboard before we continue.,1
I'm curious what feels alive for the team in this conversation.,0
What would it mean for this design to truly respect the user's time and attention?,0
Let's do a rapid brainwriting exercise — write ideas silently for two minutes.,1
"Assign roles now: timekeeper, note-taker, presenter, and facilitator.",1
What would a radically different solution look like?,0
Use the how-might-we template to reframe your problem statement.,1
We are moving to convergence — select the one idea to develop further.,1
I'm curious what unmet need sits just beneath the surface of what we've been discussing.,0
What would a user with very different needs teach us about our solution?,0
What feels most important to you right now?,0
How might we use what we don't know as an asset rather than a liability?,0
Break into pairs and build a paper prototype of your concept.,1
Use the lotus blossom technique to generate 64 ideas from 8 themes.,1
How might we look at this from the user's perspective?,0
How might we design this in a way that grows with the user over time?,0
